MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10304661203,000000000022156102,0.644,Active Import Interval (kW),30-03-2025 04:00
10304661203,000000000022156102,0.528,Active Import Interval (kW),30-03-2025 03:30
10304661203,000000000022156102,2.246,Active Import Interval (kW),30-03-2025 03:00
10304661203,000000000022156102,0.630,Active Import Interval (kW),30-03-2025 02:30
10304661203,000000000022156102,0.604,Active Import Interval (kW),30-03-2025 02:00
10304661203,000000000022156102,0.800,Active Import Interval (kW),30-03-2025 00:30
10304661203,000000000022156102,0.714,Active Import Interval (kW),30-03-2025 00:00
10304661203,000000000022156102,2.376,Active Import Interval (kW),29-03-2025 23:30
10304661203,000000000022156102,1.684,Active Import Interval (kW),29-03-2025 23:00
10304661203,000000000022156102,0.440,Active Import Interval (kW),29-03-2025 22:30
10304661203,000000000022156102,0.786,Active Import Interval (kW),29-03-2025 22:00
10304661203,000000000022156102,2.030,Active Import Interval (kW),29-03-2025 21:30
10304661203,000000000022156102,2.708,Active Import Interval (kW),29-03-2025 21:00
10304661203,000000000022156102,0.646,Active Import Interval (kW),29-03-2025 20:30
10304661203,000000000022156102,0.486,Active Import Interval (kW),29-03-2025 20:00
10304661203,000000000022156102,0.536,Active Import Interval (kW),29-03-2025 19:30
10304661203,000000000022156102,0.580,Active Import Interval (kW),29-03-2025 19:00
10304661203,000000000022156102,1.876,Active Import Interval (kW),29-03-2025 18:30
10304661203,000000000022156102,0.870,Active Import Interval (kW),29-03-2025 18:00
10304661203,000000000022156102,0.592,Active Import Interval (kW),29-03-2025 17:30
10304661203,000000000022156102,2.386,Active Import Interval (kW),29-03-2025 17:00
10304661203,000000000022156102,0.276,Active Import Interval (kW),29-03-2025 16:30
10304661203,000000000022156102,0.282,Active Import Interval (kW),29-03-2025 16:00
10304661203,000000000022156102,0.278,Active Import Interval (kW),29-03-2025 15:30
10304661203,000000000022156102,0.286,Active Import Interval (kW),29-03-2025 15:00
10304661203,000000000022156102,0.278,Active Import Interval (kW),29-03-2025 14:30
10304661203,000000000022156102,0.322,Active Import Interval (kW),29-03-2025 14:00
10304661203,000000000022156102,2.938,Active Import Interval (kW),29-03-2025 13:30
10304661203,000000000022156102,1.028,Active Import Interval (kW),29-03-2025 13:00
10304661203,000000000022156102,0.340,Active Import Interval (kW),29-03-2025 12:30
10304661203,000000000022156102,0.678,Active Import Interval (kW),29-03-2025 12:00
10304661203,000000000022156102,0.630,Active Import Interval (kW),29-03-2025 11:30
10304661203,000000000022156102,3.382,Active Import Interval (kW),29-03-2025 11:00
10304661203,000000000022156102,0.582,Active Import Interval (kW),29-03-2025 10:30
10304661203,000000000022156102,0.718,Active Import Interval (kW),29-03-2025 10:00
10304661203,000000000022156102,0.066,Active Import Interval (kW),29-03-2025 09:30
10304661203,000000000022156102,0.058,Active Import Interval (kW),29-03-2025 09:00
10304661203,000000000022156102,0.060,Active Import Interval (kW),29-03-2025 08:30
10304661203,000000000022156102,0.062,Active Import Interval (kW),29-03-2025 08:00
10304661203,000000000022156102,0.268,Active Import Interval (kW),29-03-2025 07:30
10304661203,000000000022156102,0.248,Active Import Interval (kW),29-03-2025 07:00
10304661203,000000000022156102,1.554,Active Import Interval (kW),29-03-2025 06:30
10304661203,000000000022156102,0.258,Active Import Interval (kW),29-03-2025 06:00
10304661203,000000000022156102,0.280,Active Import Interval (kW),29-03-2025 05:30
10304661203,000000000022156102,0.268,Active Import Interval (kW),29-03-2025 05:00
10304661203,000000000022156102,0.572,Active Import Interval (kW),29-03-2025 04:30
10304661203,000000000022156102,0.414,Active Import Interval (kW),29-03-2025 04:00
10304661203,000000000022156102,0.450,Active Import Interval (kW),29-03-2025 03:30
10304661203,000000000022156102,0.646,Active Import Interval (kW),29-03-2025 03:00
10304661203,000000000022156102,1.776,Active Import Interval (kW),29-03-2025 02:30
10304661203,000000000022156102,0.480,Active Import Interval (kW),29-03-2025 02:00
10304661203,000000000022156102,0.668,Active Import Interval (kW),29-03-2025 01:30
10304661203,000000000022156102,0.532,Active Import Interval (kW),29-03-2025 01:00
10304661203,000000000022156102,0.902,Active Import Interval (kW),29-03-2025 00:30
10304661203,000000000022156102,1.098,Active Import Interval (kW),29-03-2025 00:00
10304661203,000000000022156102,3.000,Active Import Interval (kW),28-03-2025 23:30
10304661203,000000000022156102,1.452,Active Import Interval (kW),28-03-2025 23:00
10304661203,000000000022156102,1.878,Active Import Interval (kW),28-03-2025 22:30
10304661203,000000000022156102,1.438,Active Import Interval (kW),28-03-2025 22:00
10304661203,000000000022156102,2.256,Active Import Interval (kW),28-03-2025 21:30
10304661203,000000000022156102,3.264,Active Import Interval (kW),28-03-2025 21:00
10304661203,000000000022156102,1.044,Active Import Interval (kW),28-03-2025 20:30
10304661203,000000000022156102,0.834,Active Import Interval (kW),28-03-2025 20:00
10304661203,000000000022156102,0.914,Active Import Interval (kW),28-03-2025 19:30
10304661203,000000000022156102,0.862,Active Import Interval (kW),28-03-2025 19:00
10304661203,000000000022156102,2.286,Active Import Interval (kW),28-03-2025 18:30
10304661203,000000000022156102,3.630,Active Import Interval (kW),28-03-2025 18:00
10304661203,000000000022156102,3.542,Active Import Interval (kW),28-03-2025 17:30
10304661203,000000000022156102,3.466,Active Import Interval (kW),28-03-2025 17:00
10304661203,000000000022156102,0.484,Active Import Interval (kW),28-03-2025 16:30
10304661203,000000000022156102,0.406,Active Import Interval (kW),28-03-2025 16:00
10304661203,000000000022156102,0.808,Active Import Interval (kW),28-03-2025 15:30
10304661203,000000000022156102,1.800,Active Import Interval (kW),28-03-2025 15:00
10304661203,000000000022156102,2.514,Active Import Interval (kW),28-03-2025 14:30
10304661203,000000000022156102,3.366,Active Import Interval (kW),28-03-2025 14:00
10304661203,000000000022156102,3.426,Active Import Interval (kW),28-03-2025 13:30
10304661203,000000000022156102,0.704,Active Import Interval (kW),28-03-2025 13:00
10304661203,000000000022156102,2.650,Active Import Interval (kW),28-03-2025 12:30
10304661203,000000000022156102,3.380,Active Import Interval (kW),28-03-2025 12:00
